epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,894.574,1.20404,1.07516,1.36752,0.70033,0.65043,0.65708,0.41586,1.59124,1.13441,1.68013,0.000231213,0.000231213,0.000231213
89,904.926,1.18217,1.01984,1.33627,0.72437,0.65795,0.63769,0.4017,1.68989,1.18413,1.73619,0.00021471,0.00021471,0.00021471
90,915.119,1.19703,1.0508,1.35088,0.69519,0.67302,0.65021,0.41349,1.67182,1.21217,1.7425,0.000198206,0.000198206,0.000198206
91,944.697,1.10312,0.93588,1.35182,0.67583,0.68429,0.62754,0.40918,1.61967,1.22488,1.71861,0.000181703,0.000181703,0.000181703
92,954.628,1.08504,0.89544,1.35966,0.66973,0.66635,0.63938,0.41589,1.59717,1.19648,1.69814,0.0001652,0.0001652,0.0001652
93,964.501,1.10616,0.89838,1.34167,0.6666,0.66901,0.63844,0.4222,1.58614,1.14978,1.69947,0.000148696,0.000148696,0.000148696
94,974.125,1.05997,0.85877,1.31565,0.68074,0.65798,0.63335,0.41672,1.61321,1.16679,1.70794,0.000132193,0.000132193,0.000132193
95,984.028,1.08517,0.84067,1.34131,0.68691,0.66926,0.65238,0.42064,1.60782,1.16198,1.7188,0.00011569,0.00011569,0.00011569
96,993.712,1.05824,0.85006,1.31121,0.7024,0.65041,0.64125,0.41591,1.63022,1.15829,1.73743,9.91865e-05,9.91865e-05,9.91865e-05
97,1003.61,1.0636,0.83221,1.3156,0.68395,0.65915,0.63888,0.41657,1.63572,1.15167,1.73834,8.26832e-05,8.26832e-05,8.26832e-05
98,1013.26,1.05566,0.82574,1.31862,0.69219,0.68429,0.65072,0.41889,1.63369,1.15339,1.73901,6.61799e-05,6.61799e-05,6.61799e-05
99,1022.81,1.0238,0.80789,1.3044,0.68943,0.6832,0.65273,0.4161,1.63253,1.12913,1.73683,4.96766e-05,4.96766e-05,4.96766e-05
100,1032.63,1.05712,0.80632,1.30794,0.71026,0.68429,0.64898,0.4184,1.61874,1.16109,1.72374,3.31733e-05,3.31733e-05,3.31733e-05
